ProductType,CircuitStatus,Billing_Start_Date,Currency,NRC,MRC,Bandwidth,city,state,country
CPE,ACTIVE,2019-05-08,USD,0.0,200.0,0,Taoyuan,Taiwan,China
Netcare,ACTIVE,2019-05-08,USD,0.0,70.0,0,Taoyuan,Taiwan,China
VPN,ACTIVE,2019-05-08,USD,1000.0,995.0,2,Taoyuan,Taiwan,China
Netcare,ACTIVE,2019-05-08,USD,0.0,70.0,0,Taoyuan,Taiwan,China
VPN,ACTIVE,2019-05-08,USD,1000.0,995.0,2,Taoyuan,Taiwan,China
Local Internet Access,ACTIVE,2019-05-16,USD,0.0,4015.0,100,Shenyang,Liaoning,China
Cloud VAS,ACTIVE,2019-05-20,USD,0.0,760.0,0,Shanghai,Shanghai,China
CPE,ACTIVE,2019-05-21,USD,0.0,284.0,0,Taoyuan,Taiwan,China
Local Internet Access,ACTIVE,2019-05-22,USD,0.0,613.0,50,Chongqing,Chongqing,China
IEPL,ACTIVE,2019-05-29,USD,360.0,5700.0,300,Shanghai,Shenzhen,China
GIS,ACTIVE,2019-06-01,USD,690.0,1290.0,10,Botucatu,Botucatu,Brazil
CPE(EI),ACTIVE,2019-06-01,USD,375.0,300.0,0,Botucatu,Botucatu,Brazil
VPN,ACTIVE,2019-06-04,CNY,1975.2857142857142,1864.2857142857142,20,Chengdu,Sichuan,China
VPN,ACTIVE,2019-06-04,CNY,0.0,4233.857142857143,150,Shanghai,Shanghai,China
VPN,ACTIVE,2019-06-06,CNY,951.2857142857143,1489.7142857142858,15,Shenzhen,Guangdong,China
Local Internet Access,ACTIVE,2019-06-07,USD,0.0,708.0,20,Qingdao CLS,,China
Local Internet Access,ACTIVE,2019-06-07,USD,0.0,657.0,20,Wuhan,Hubei,China
Local Internet Access,ACTIVE,2019-06-07,USD,0.0,636.0,10,Suzhou,Jiangsu,China
Local Internet Access,ACTIVE,2019-06-07,USD,0.0,550.0,10,Nanchang,Jiangxi,China
VPN,ACTIVE,2019-06-11,USD,3960.0,1915.0,5,Xiamen,Fujian,China
VPN,ACTIVE,2019-06-11,USD,300.0,2675.0,10,Fuzhou,Fujian,China
Netcare,ACTIVE,2019-06-11,USD,0.0,45.0,0,Xiamen,Fujian,China
Netcare,ACTIVE,2019-06-11,USD,0.0,45.0,0,Fuzhou,Fujian,China
Local Internet Access,ACTIVE,2019-06-13,CNY,0.0,520.0,10,Wuhan,Hubei,China
IEPL,ACTIVE,2019-06-13,USD,0.0,1710.0,20,Shanghai,Beijing,China
VPN,ACTIVE,2019-06-15,CNY,2974.282857142857,2855.4628571428575,20,Beijing,Beijing,China
IEPL,ACTIVE,2019-06-15,BRL,500.0,3900.0,1000,Rio De Janeiro,Brazil,Barueri
SD-WAN,ACTIVE,2019-06-19,USD,160.0,760.0,0,nan,nan,
Local Internet Access,ACTIVE,2019-06-20,USD,0.0,2550.0,40,Dongguan,Guangdong,China
